Championat,ITA,,,ENG,,,SPA,,,GER,,,OLA,,PORTOG,,FRA,,,UEFA,,Autralie,,,BELGIQUE,,,BIELORUSSIE,,,CHINE,,,COREE,,,CROATIE,,,JAPON,,,MAROC,,,MEXIQUE,,,PORTUGAL,,
,SERIE A,,,PREMIER L,,,LIGA,,,BUNDESL,,,EREDIV,,PRIMERA,,LIGUE 1,,,CHAMPION,,LIGUE 1,,,,,,,,,LIGUE 1,,,,,,,,,,,,,,,,,,,,
Nombre de matchs,59,,,59,,,67,,,54,,,242,,216,,79,,,44,,380,,,81,,,188,,,0,,,182,,,46,,,302,,,24,,,90,,,61,,
Domicile Mi-Temps,"35,59%",0,0,"38,98%",0,0,"41,79%",0,0,"33,33%",0,0,,,,,"26,58%",0,0,,,"8,42%",0,0,"34,57%",0,0,"29,26%",7,"2,05",#DIV/0!,,#DIV/0!,"24,18%",0,0,"23,91%",1,"0,24","27,15%",0,0,"41,67%",0,0,30%,4,"1,2","27,87%",4,"1,11"
Null Mi-Temps,"27,12%",3,"0,81","44,07%",1,"0,44","44,78%",1,"0,45","42,59%",1,"0,43",,,,,"41,77%",4,"1,67",,,"5,79%",2,"0,12","34,57%",6,"2,07","44,68%",0,0,#DIV/0!,,#DIV/0!,"54,95%",1,"0,55","47,83%",0,0,"46,36%",3,"1,39","41,67%",3,"1,25","46,67%",0,0,"44,26%",0,0
Extérieur Mi-Temps,"37,29%",2,"0,75","16,95%",3,"0,51","13,43%",19,"2,55","24,07%",8,"1,93",,,,,"31,65%",10,"3,17",,,15%,0,0,"30,86%",1,"0,31","26,06%",2,"0,52",#DIV/0!,,#DIV/0!,"20,88%",5,"1,04","28,26%",2,"0,57","26,49%",1,"0,26","16,67%",1,"0,17","23,33%",1,"0,23","27,87%",3,"0,84"
0-0 Mi-Temps,"25,42%",3,"0,76","30,51%",1,"0,31","37,31%",1,"0,37","31,48%",1,"0,31",,,,,"26,58%",40,"10,63",,,"8,68%",1,"0,09","24,69%",6,"1,48","35,64%",0,0,#DIV/0!,,#DIV/0!,"42,31%",1,"0,42","41,3%",0,0,"37,75%",3,"1,13","37,5%",3,"1,13","31,11%",0,0,"34,43%",0,0
"> 0,5 Mi Temps","74,58%",0,0,"69,49%",0,0,"62,69%",0,0,"68,52%",0,0,,,,,"73,42%",0,0,,,"5,79%",0,0,"75,31%",0,0,"64,36%",1,"0,64",#DIV/0!,,#DIV/0!,"57,69%",0,0,"58,7%",1,"0,59","62,25%",0,0,"62,5%",0,0,"68,89%",1,"0,69","65,57%",2,"1,31"
"> 1,5 Mi Temps","27,12%",1,"0,27","30,51%",0,0,"28,36%",2,"0,57","42,59%",0,0,,,,,"40,51%",0,0,,,"6,32%",2,"0,13","28,4%",0,0,"30,85%",1,"0,31",#DIV/0!,,#DIV/0!,"23,63%",5,"1,18","30,43%",1,"0,3","29,14%",0,0,"16,67%",2,"0,33","27,78%",1,"0,28","31,15%",2,"0,62"
Les 2 marquent Mi Temps,"18,64%",1,"0,19","16,95%",2,"0,34","19,4%",2,"0,39","22,22%",6,"1,33",,,,,"27,85%",2,"0,56",,,"3,16%",0,0,"16,05%",10,"1,61","15,43%",1,"0,15",#DIV/0!,,#DIV/0!,"17,03%",11,"1,87","13,04%",1,"0,13","15,89%",7,"1,11","8,33%",2,"0,17","23,33%",1,"0,23","18,03%",2,"0,36"
Une equipe 0 but,"81,36%",0,0,"83,05%",0,0,"80,6%",0,0,"77,78%",0,0,,,,,"72,15%",0,0,,,"17,63%",1,"0,18","83,95%",0,0,"84,57%",0,0,#DIV/0!,,#DIV/0!,"82,97%",0,0,"86,96%",0,0,"84,11%",0,0,"91,67%",0,0,"76,67%",0,0,"81,97%",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domicile Mi-Temps,"37,29%",0,0,"33,9%",3,"1,02","28,36%",0,0,"44,44%",3,"1,33",,,,,"41,77%",1,"0,42",,,"10,53%",2,"0,21","34,57%",0,0,"44,15%",0,0,#DIV/0!,,#DIV/0!,"37,36%",0,0,"43,48%",0,0,"35,43%",1,"0,35",25%,5,"1,25","37,78%",4,"1,51","40,98%",2,"0,82"
Null Mi-Temps,"35,59%",1,"0,36","30,51%",2,"0,61","40,3%",5,"2,02","37,04%",0,0,,,,,"27,85%",0,0,,,"5,26%",3,"0,16","27,16%",6,"1,63","27,66%",1,"0,28",#DIV/0!,,#DIV/0!,"37,91%",3,"1,14","26,09%",6,"1,57","36,09%",2,"0,72","45,83%",1,"0,46","37,78%",1,"0,38","36,07%",0,0
Extérieur Mi-Temps,"27,12%",8,"2,17","35,59%",0,0,"31,34%",4,"1,25","18,52%",11,"2,04",,,,,"30,38%",2,"0,61",,,"15,53%",0,0,"38,27%",1,"0,38","28,19%",2,"0,56",#DIV/0!,,#DIV/0!,"24,73%",1,"0,25","30,43%",1,"0,3","28,48%",0,0,"29,17%",0,0,"24,44%",0,0,"22,95%",5,"1,15"
0-0 Mi-Temps,"15,25%",2,"0,31","22,03%",14,"3,08","31,34%",5,"1,57","25,93%",0,0,,,,,"15,19%",0,0,,,"7,37%",0,0,"14,81%",11,"1,63","18,09%",5,"0,9",#DIV/0!,,#DIV/0!,"23,08%",3,"0,69","8,7%",23,2,"23,51%",2,"0,47",25%,1,"0,25","24,44%",1,"0,24","21,31%",0,0
"> 0,5 Mi Temps","84,75%",0,0,"77,97%",0,0,"68,66%",0,0,"74,07%",3,"2,22",,,,,"84,81%",1,"0,85",,,"7,11%",2,"0,14","85,19%",0,0,"81,91%",0,0,#DIV/0!,,#DIV/0!,"76,92%",0,0,"91,3%",0,0,"76,49%",0,0,75%,0,0,"75,56%",0,0,"78,69%",1,"0,79"
"> 1,5 Mi Temps","64,41%",1,"0,64","44,07%",2,"0,88","35,82%",4,"1,43","46,3%",4,"1,85",,,,,"50,63%",2,"1,01",,,"6,32%",4,"0,25","56,79%",2,"1,14","48,4%",1,"0,48",#DIV/0!,,#DIV/0!,"47,25%",1,"0,47","54,35%",1,"0,54","37,75%",1,"0,38","33,33%",3,1,"33,33%",0,0,"44,26%",1,"0,44"
Les 2 marquent Mi Temps,"40,68%",1,"0,41","18,64%",2,"0,37","16,42%",7,"1,15","27,78%",8,"2,22",,,,,"25,32%",3,"0,76",,,"0,79%",48,"0,38","32,1%",6,"1,93","20,21%",1,"0,2",#DIV/0!,,#DIV/0!,"30,22%",5,"1,51","36,96%",1,"0,37","23,51%",3,"0,71","20,83%",3,"0,62","17,78%",0,0,"22,95%",1,"0,23"
Une equipe 0 but,"59,32%",0,0,"81,36%",0,0,"83,58%",0,0,"72,22%",0,0,,,,,"74,68%",0,0,,,"2,37%",17,"0,4","67,9%",0,0,"79,79%",0,0,#DIV/0!,,#DIV/0!,"69,78%",0,0,"63,04%",0,0,"76,49%",0,0,"79,17%",0,0,"82,22%",1,"0,82","77,05%",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domicile Fin Match,"38,98%",0,0,"40,68%",0,0,"34,33%",0,0,50%,0,0,,,,,"35,44%",0,0,,,"10,79%",0,0,"35,8%",0,0,"42,55%",0,0,#DIV/0!,,#DIV/0!,"40,11%",0,0,"47,83%",0,0,"41,72%",0,0,"37,5%",2,"0,75","37,78%",4,"1,51","37,7%",2,"0,75"
Null  Fin Match,"20,34%",6,"1,22","23,73%",2,"0,47","34,33%",5,"1,72","29,63%",1,"0,3",,,,,"34,18%",2,"0,68",,,"7,37%",1,"0,07","22,22%",2,"0,44","26,6%",1,"0,27",#DIV/0!,,#DIV/0!,"30,22%",3,"0,91","17,39%",6,"1,04","24,5%",6,"1,47","33,33%",0,0,"37,78%",2,"0,76","32,79%",0,0
Extérieur  Fin Match,"40,68%",2,"0,81","35,59%",1,"0,36","31,34%",4,"1,25","20,37%",8,"1,63",,,,,"30,38%",4,"1,22",,,"2,89%",2,"0,06","41,98%",1,"0,42","30,85%",2,"0,62",#DIV/0!,,#DIV/0!,"29,67%",1,"0,3","34,78%",1,"0,35","33,77%",3,"1,01","29,17%",1,"0,29","24,44%",0,0,"29,51%",3,"0,89"
0-0  Fin Match,"3,39%",41,"1,39","5,08%",14,"0,71","14,93%",5,"0,75","11,11%",1,"0,11",,,,,"3,8%",48,"1,82",,,"12,89%",2,"0,26","1,23%",70,"0,86","6,91%",5,"0,35",#DIV/0!,,#DIV/0!,"12,64%",3,"0,38","2,17%",31,"0,67","8,61%",15,"1,29","8,33%",17,"1,42","12,22%",2,"0,24","9,84%",0,0
"< 1,5 Fin Match","18,64%",2,"0,37","25,42%",1,"0,25","34,33%",1,"0,34","24,07%",1,"0,24",,,,,"11,39%",17,"1,94",,,"7,89%",0,0,"19,75%",11,"2,17","24,47%",0,0,#DIV/0!,,#DIV/0!,"34,07%",3,"1,02","21,74%",0,0,"29,8%",2,"0,6","29,17%",1,"0,29","22,22%",2,"0,44","19,67%",0,0
"> 2,5 Fin Match","69,49%",1,"0,69","49,15%",0,0,"41,79%",2,"0,84","53,7%",0,0,,,,,"51,9%",0,0,,,"2,11%",6,"0,13","59,26%",0,0,"49,47%",1,"0,49",#DIV/0!,,#DIV/0!,"46,7%",5,"2,34","52,17%",1,"0,52","44,37%",0,0,"29,17%",2,"0,58","42,22%",0,0,"52,46%",2,"1,05"
"> 3,5 Fin Match","47,46%",1,"0,47","27,12%",0,0,"23,88%",2,"0,48","40,74%",4,"1,63",,,,,"35,44%",1,"0,35",,,"5,26%",0,0,"33,33%",2,"0,67","29,26%",1,"0,29",#DIV/0!,,#DIV/0!,"23,08%",5,"1,15","32,61%",1,"0,33","20,53%",6,"1,23",0%,24,0,"16,67%",13,"2,17","22,95%",2,"0,46"
"> 4,5 Fin Match","20,34%",1,"0,2","13,56%",2,"0,27","14,93%",4,"0,6","22,22%",4,"0,89",,,,,"13,92%",2,"0,28",,,"2,89%",4,"0,12","14,81%",10,"1,48","14,36%",2,"0,29",#DIV/0!,,#DIV/0!,"10,99%",5,"0,55","13,04%",1,"0,13","9,93%",24,"2,38",0%,24,0,"1,11%",18,"0,2","6,56%",2,"0,13"
Les 2 equipes Marquent,"61,02%",1,"0,61","42,37%",0,0,"49,25%",2,"0,99","55,56%",6,"3,33",,,,,"62,03%",2,"1,24",,,"3,42%",13,"0,44","60,49%",2,"1,21","45,21%",1,"0,45",#DIV/0!,,#DIV/0!,"52,2%",5,"2,61","54,35%",1,"0,54","45,7%",0,0,"41,67%",0,0,"48,89%",0,0,"52,46%",1,"0,52"
Une equipe 0 but,"38,98%",0,0,"57,63%",1,"0,58","50,75%",0,0,"44,44%",0,0,,,,,"37,97%",0,0,,,"236,32%",,0,"39,51%",0,0,"54,79%",0,0,#DIV/0!,,#DIV/0!,"47,8%",0,0,"45,65%",0,0,"54,3%",2,"1,09","58,33%",1,"0,58","51,11%",2,"1,02","47,54%",0,0
Domicile gagne 1 but d'écart,"18,64%",1,"0,19","10,17%",11,"1,12","13,43%",1,"0,13","24,07%",2,"0,48",,,,,"10,13%",6,"0,61",,,"334,47%",,0,"17,28%",3,"0,52","18,09%",0,0,#DIV/0!,,#DIV/0!,"25,82%",4,"1,03","23,91%",0,0,"22,85%",0,0,"20,83%",2,"0,42","14,44%",7,"1,01","14,75%",2,"0,3"
Domicile gagne avec  2 but d'écart ou +,"20,34%",0,0,"30,51%",0,0,"20,9%",0,0,"25,93%",0,0,,,,,"25,32%",0,0,,,"826,32%",,0,"18,52%",0,0,"24,47%",7,"1,71",#DIV/0!,,#DIV/0!,"14,29%",0,0,"23,91%",11,"2,63","18,87%",5,"0,94","16,67%",5,"0,83","23,33%",4,"0,93","22,95%",7,"1,61"
Exéterieur gagne 1 but d'écart,"27,12%",2,"0,54","20,34%",1,"0,2","22,39%",4,"0,9","5,56%",23,"1,28",,,,,"13,92%",4,"0,56",,,"3388,16%",,0,"25,93%",4,"1,04","14,89%",14,"2,08",#DIV/0!,,#DIV/0!,"19,23%",8,"1,54","19,57%",1,"0,2","19,21%",3,"0,58","16,67%",1,"0,17","12,22%",0,0,"18,03%",5,"0,9"
Exterieur gagne avec  2 but d'écart ou +,"13,56%",11,"1,49","15,25%",9,"1,37","8,96%",10,"0,9","14,81%",8,"1,18",,,,,"16,46%",13,"2,14",,,"6,84%",,0,"16,05%",1,"0,16","15,96%",2,"0,32",#DIV/0!,,#DIV/0!,"10,44%",1,"0,1","15,22%",2,"0,3","14,57%",4,"0,58","12,5%",8,1,"12,22%",17,"2,08","11,48%",3,"0,34"
